Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,VPR Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10107","","","None","192.168.0.105","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache/1.3.20 (Unix)  (Red-Hat/Linux) mod_ssl/2.8.4 OpenSSL/0.9.6b","","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10107","","","None","192.168.0.105","tcp","443","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache/1.3.20 (Unix)  (Red-Hat/Linux) mod_ssl/2.8.4 OpenSSL/0.9.6b","","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10114","CVE-1999-0524","0.0","None","192.168.0.105","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The difference between the local and remote clocks is -110 seconds.
","","0.0","","","","None","","CWE:200","","1999/08/01","2019/10/04","","",""
"10150","","","None","192.168.0.105","udp","137","Windows NetBIOS / SMB Remote Host Information Disclosure","It was possible to obtain the network name of the remote host.","The remote host is listening on UDP port 137 or TCP port 445, and
replies to NetBIOS nbtscan or SMB requests.

Note that this plugin gathers information to be used in other plugins,
but does not itself generate a report.","n/a","","The following 5 NetBIOS names have been gathered :

 KIOPTRIX         = Computer name
 KIOPTRIX         = Messenger Service
 KIOPTRIX         = File Server Service
 MYGROUP          = Workgroup / Domain name
 MYGROUP          = Browser Service Elections

This SMB server seems to be a Samba server - its MAC address is NULL.","","","","","","None","","","","1999/10/12","2021/02/10","","",""
"10223","CVE-1999-0632","0.0","None","192.168.0.105","udp","111","RPC portmapper Service Detection","An ONC RPC portmapper is running on the remote host.","The RPC portmapper is running on this port.

The portmapper allows someone to get the port number of each RPC
service running on the remote host by sending either multiple lookup
requests or a DUMP request.","n/a","","","","0.0","","","","None","","","","1999/08/19","2019/10/04","","",""
"10267","","","None","192.168.0.105","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-1.99-OpenSSH_2.9p2
SSH supported authentication : publickey,password,keyboard-interactive
","","","","","","None","","IAVT:0001-T-0933","","1999/10/12","2020/09/22","","",""
"10287","","","None","192.168.0.105","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.0.103 to 192.168.0.105 : 
192.168.0.103
192.168.0.105

Hop Count: 1
","","","","","","None","","","","1999/11/27","2020/08/20","","",""
"10771","CVE-2001-0816","7.5","High","192.168.0.105","tcp","22","OpenSSH 2.5.x - 2.9 Multiple Vulnerabilities","The remote version of OpenSSH contains multiple vulnerabilities.","According to its banner, the remote host appears to be running
OpenSSH version between 2.5.x and 2.9.  Such versions reportedly
contain multiple vulnerabilities :

  - sftp-server does not respect the 'command=' argument of
    keys in the authorized_keys2 file. (CVE-2001-0816)

  - sshd does not properly handle the 'from=' argument of 
    keys in the authorized_keys2 file. If a key of one type 
    (e.g. RSA) is followed by a key of another type (e.g. 
    DSA) then the options for the latter will be applied to
    the former, including 'from=' restrictions. This problem
    allows users to circumvent the system policy and login
    from disallowed source IP addresses. (CVE-2001-1380)","Upgrade to OpenSSH 2.9.9","http://www.openbsd.org/advisories/ssh_option.txt
http://www.nessus.org/u?759da6a7
http://www.openssh.com/txt/release-2.9.9","
  Version source    : SSH-1.99-OpenSSH_2.9p2
  Installed version : 2.9p2
  Fixed version     : 2.9.9
","","","5.5","","5.3","High","3345;3369","CERT:905795","","2001/09/28","2018/11/15","","",""
"10771","CVE-2001-1380","7.5","High","192.168.0.105","tcp","22","OpenSSH 2.5.x - 2.9 Multiple Vulnerabilities","The remote version of OpenSSH contains multiple vulnerabilities.","According to its banner, the remote host appears to be running
OpenSSH version between 2.5.x and 2.9.  Such versions reportedly
contain multiple vulnerabilities :

  - sftp-server does not respect the 'command=' argument of
    keys in the authorized_keys2 file. (CVE-2001-0816)

  - sshd does not properly handle the 'from=' argument of 
    keys in the authorized_keys2 file. If a key of one type 
    (e.g. RSA) is followed by a key of another type (e.g. 
    DSA) then the options for the latter will be applied to
    the former, including 'from=' restrictions. This problem
    allows users to circumvent the system policy and login
    from disallowed source IP addresses. (CVE-2001-1380)","Upgrade to OpenSSH 2.9.9","http://www.openbsd.org/advisories/ssh_option.txt
http://www.nessus.org/u?759da6a7
http://www.openssh.com/txt/release-2.9.9","
  Version source    : SSH-1.99-OpenSSH_2.9p2
  Installed version : 2.9p2
  Fixed version     : 2.9.9
","","","5.5","","5.3","High","3345;3369","CERT:905795","","2001/09/28","2018/11/15","","",""
"10802","CVE-2001-1507","6.8","Medium","192.168.0.105","tcp","22","OpenSSH < 3.0.1 Multiple Flaws","The remote host has an application that is affected by 
multiple vulnerabilities.","According to its banner, the remote host appears to be
running OpenSSH version 3.0.1 or older. Such versions
are reportedly affected by multiple flaws :

  - Provided KerberosV is enabled (disabled by default),
    it may be possible for an attacker to partially
    authenticate.

  - It may be possible to crash the daemon due to a 
    excessive memory clearing bug.","Upgrade to OpenSSH 3.0.1 or later.","https://seclists.org/bugtraq/2001/Nov/152","","","","5.0","","4.7","Medium","3560","","","2001/11/20","2018/11/15","","",""
